"","beta.ff","gamma.mm","gamma.mf","gamma.fm","theta","env.foi","hunt.f","hunt.m","fin.pop4.75","fin.prev4.75","fin.pop9.75","fin.prev9.75","fin.pop14.75","fin.prev14.75","fin.pop24.75","fin.prev24.75","R0","scenario","rate.var","rate.val","trans"
"104",0.0296175,4,2,1,1,0,0.03,0.05,2582.10057965283,0.0524580088505254,3037.47941289336,0.0780615077181211,3410.72171022231,0.0963625117961502,4034.89967051869,0.105538285774348,NA,"male.dominated","af",0.03,"Freq. Dep."
"105",0.0296175,4,2,1,1,0,0.04,0.05,2468.4850659403,0.0583028783827429,2724.75065785528,0.0956137407382328,2803.55768704659,0.120654793695613,2760.17741591163,0.125610045578643,NA,"male.dominated","af",0.04,"Freq. Dep."
"106",0.0296175,4,2,1,1,0,0.05,0.05,2358.24693391803,0.0651771372448259,2429.3416982306,0.117194950523474,2265.69465147717,0.147946173077442,1851.0639336274,0.143717679787407,NA,"male.dominated","af",0.05,"Freq. Dep."
"107",0.0296175,4,2,1,1,0,0.06,0.05,2251.22666067728,0.0733162811606065,2149.5927122649,0.143421179776185,1795.74833040025,0.17699199213717,1221.61863522578,0.159555473220008,NA,"male.dominated","af",0.06,"Freq. Dep."
"108",0.0296175,4,2,1,1,0,0.07,0.05,2147.25439956261,0.0830203476938061,1884.11986386345,0.174757532596378,1392.89335753413,0.206118181604875,795.856845380556,0.173434361792179,NA,"male.dominated","af",0.07,"Freq. Dep."
"109",0.0296175,4,2,1,1,0,0.08,0.05,2046.1468790791,0.0946736077669504,1631.94163095003,0.211354809414801,1055.69461879833,0.23356760387661,512.768140814713,0.185957307520756,NA,"male.dominated","af",0.08,"Freq. Dep."
"110",0.0296175,4,2,1,1,0,0.09,0.05,1947.70345247784,0.108770225800279,1392.6381007325,0.252873041744104,781.065414782232,0.257892170643215,326.857329550121,0.197760773247125,NA,"male.dominated","af",0.09,"Freq. Dep."
"111",0.0296175,4,2,1,1,0,0.1,0.05,1851.70109701513,0.12594710840307,1166.51796394758,0.298359163866452,563.780196425563,0.278222622131792,205.90903422186,0.209377828442695,NA,"male.dominated","af",0.1,"Freq. Dep."
"112",0.0296175,4,2,1,1,0,0.11,0.05,1757.88818633793,0.147024573963091,954.737375716168,0.346267609078778,396.725810904659,0.294331801085624,127.867675654348,0.221192933012439,NA,"male.dominated","af",0.11,"Freq. Dep."
"113",0.0296175,4,2,1,1,0,0.12,0.05,1665.97701309413,0.17305359716841,759.285496035405,0.39468794827821,271.711795065002,0.306525733145591,77.9423732332695,0.233444214932735,NA,"male.dominated","af",0.12,"Freq. Dep."
"114",0.0296175,4,2,1,1,0,0.13,0.05,1575.63553222552,0.205363761542271,582.749853709905,0.441767277073768,180.446615839388,0.315460351330653,46.332696919276,0.246242760741531,NA,"male.dominated","af",0.13,"Freq. Dep."
"115",0.0296175,4,2,1,1,0,0.14,0.05,1486.48015805031,0.245596081182694,427.831420973375,0.486240154475874,115.331372639601,0.321976279490257,26.5891145895204,0.259593000152312,NA,"male.dominated","af",0.14,"Freq. Dep."
"116",0.0296175,4,2,1,1,0,0.15,0.05,1398.07504695498,0.295685495085742,296.696592382891,0.528001960613918,69.9158991869268,0.327015042258111,14.4852050991254,0.273405308237531,NA,"male.dominated","af",0.15,"Freq. Dep."
"117",0.0296175,4,2,1,1,0,0.16,0.05,1309.95281414654,0.357724630060129,190.374578813718,0.568897594789831,39.0409640511311,0.331691663464055,7.26157665966219,0.28748776781749,NA,"male.dominated","af",0.16,"Freq. Dep."
"118",0.0296175,4,2,1,1,0,0.17,0.05,1221.69763077182,0.433593209414109,108.442916406518,0.614734351493085,18.7792416442708,0.337819747907803,3.12646493211132,0.30146608513143,NA,"male.dominated","af",0.17,"Freq. Dep."
"119",0.0296175,4,2,1,1,0,0.18,0.05,1133.20731682934,0.524189749796226,49.154807445543,0.68417318296387,6.3146772106845,0.351154565529859,0.932220119921257,0.314288480990456,NA,"male.dominated","af",0.18,"Freq. Dep."
"120",0.0296175,4,2,1,1,0,0.19,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.19,"Freq. Dep."
"121",0.0296175,4,2,1,1,0,0.2,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.2,"Freq. Dep."
"122",0.0296175,4,2,1,1,0,0.21,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.21,"Freq. Dep."
"123",0.0296175,4,2,1,1,0,0.22,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.22,"Freq. Dep."
"124",0.0296175,4,2,1,1,0,0.23,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.23,"Freq. Dep."
"125",0.0296175,4,2,1,1,0,0.24,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.24,"Freq. Dep."
"126",0.0296175,4,2,1,1,0,0.25,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.25,"Freq. Dep."
"127",0.0296175,4,2,1,1,0,0.26,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.26,"Freq. Dep."
"128",0.0296175,4,2,1,1,0,0.27,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.27,"Freq. Dep."
"129",0.0296175,4,2,1,1,0,0.28,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.28,"Freq. Dep."
"130",0.0296175,4,2,1,1,0,0.29,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.29,"Freq. Dep."
"131",0.0296175,4,2,1,1,0,0.3,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.3,"Freq. Dep."
"132",0.0296175,4,2,1,1,0,0.31,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.31,"Freq. Dep."
"133",0.0296175,4,2,1,1,0,0.32,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male.dominated","af",0.32,"Freq. Dep."
